Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000040,0,2,260458630300,13.051,-0.407,-0.377,113,16,13051,-407,-377,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.049,-0.395,-0.172,105,16,13049,-395,-172,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.04,-0.383,0.031,134,16,13040,-383,31,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.043,-0.373,0.236,115,16,13043,-373,236,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.055,-0.363,0.441,97,16,13055,-363,441,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.064,-0.352,0.647,89,16,13064,-352,647,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.057,-0.306,-0.378,107,16,13057,-306,-378,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.056,-0.296,-0.173,105,16,13056,-296,-173,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.042,-0.284,0.03,131,16,13042,-284,30,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.04,-0.274,0.235,129,16,13040,-274,235,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.059,-0.263,0.44,93,16,13059,-263,440,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.052,-0.253,0.645,96,16,13052,-253,645,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.053,-0.207,-0.379,109,16,13053,-207,-379,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.053,-0.196,-0.174,107,16,13053,-196,-174,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.042,-0.185,0.03,137,16,13042,-185,30,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.045,-0.175,0.234,137,16,13045,-175,234,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.058,-0.165,0.44,86,16,13058,-165,440,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.06,-0.155,0.645,95,16,13060,-155,645,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.059,-0.107,-0.379,97,16,13059,-107,-379,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.052,-0.097,-0.175,105,16,13052,-97,-175,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.049,-0.086,0.029,145,16,13049,-86,29,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.04,-0.077,0.233,131,16,13040,-77,233,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.06,-0.067,0.439,94,16,13060,-67,439,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.063,-0.057,0.644,93,16,13063,-57,644,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.054,-0.009,-0.381,108,16,13054,-9,-381,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.054,0.001,-0.176,102,16,13054,1,-176,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.05,0.011,0.027,146,16,13050,11,27,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.042,0.02,0.232,134,16,13042,20,232,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.059,0.029,0.437,93,16,13059,29,437,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.075,0.039,0.644,76,16,13075,39,644,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.051,0.088,-0.382,110,16,13051,88,-382,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.055,0.098,-0.177,100,16,13055,98,-177,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.045,0.108,0.026,139,16,13045,108,26,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.044,0.116,0.231,127,16,13044,116,231,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.062,0.126,0.437,93,16,13062,126,437,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.057,0.135,0.642,97,16,13057,135,642,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.047,0.186,-0.383,108,16,13047,186,-383,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.047,0.195,-0.178,100,16,13047,195,-178,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.046,0.203,0.026,140,16,13046,203,26,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.057,0.213,0.23,94,16,13057,213,230,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.058,0.222,0.436,90,16,13058,222,436,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.055,0.23,0.641,109,16,13055,230,641,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.06,0.282,-0.385,99,16,13060,282,-385,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.054,0.29,-0.18,103,16,13054,290,-180,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.057,0.299,0.024,100,16,13057,299,24,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.051,0.307,0.229,93,16,13051,307,229,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.062,0.316,0.435,88,16,13062,316,435,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.055,0.324,0.639,116,16,13055,324,639,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.055,0.377,-0.386,106,16,13055,377,-386,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.056,0.386,-0.181,99,16,13056,386,-181,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.067,0.394,0.023,101,16,13067,394,23,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.057,0.402,0.228,94,16,13057,402,228,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.061,0.411,0.433,90,16,13061,411,433,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.055,0.419,0.639,121,16,13055,419,639,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.058,0.472,-0.388,106,16,13058,472,-388,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.052,0.481,-0.182,88,16,13052,481,-182,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.054,0.488,0.022,101,16,13054,488,22,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.058,0.496,0.227,90,16,13058,496,227,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.072,0.505,0.432,89,16,13072,505,432,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.051,0.512,0.637,113,16,13051,512,637,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.056,0.567,-0.389,106,16,13056,567,-389,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.053,0.574,-0.184,104,16,13053,574,-184,0,0,0
5,1,1,0,0x00000040,0,2,260458630300,13.058,0.581,0.02,98,16,13058,581,20,0,0,0
